

央视,#genre#
SiTV欢笑剧场,http://esfcv8kmvrq787151nsdv83fjksjreosj29oe1b86seie4ffb8rvuuvp.qc.dolfincdnx.net:5001/itv/5000000002000009455.m3u8?cdn=bestzb
SiTV欢笑剧场,http://esfcv8kmvrq787151nsdv83fjksjreosj29oe1b86seie4ffb8rvuuvp.qc.dolfincdnx.net:5001/itv/5000000007000010001.m3u8?cdn=bestzb
SiTV金色学堂,http://esfcv8kmvrq787151nsdv83fjksjreosj29oe1b86seie4ffb8rvuuvp.qc.dolfincdnx.net:5001/itv/5000000010000026105.m3u8?cdn=bestzb
SiTV劲爆体育,http://esfcv8kmvrq787151nsdv83fjksjreosj29oe1b86seie4ffb8rvuuvp.qc.dolfincdnx.net:5001/itv/5000000002000029972.m3u8?cdn=bestzb
SiTV乐游,http://esfcv8kmvrq787151nsdv83fjksjreosj29oe1b86seie4ffb8rvuuvp.qc.dolfincdnx.net:5001/itv/5000000011000031112.m3u8?cdn=bestzb
SiTV魅力足球,http://esfcv8kmvrq787151nsdv83fjksjreosj29oe1b86seie4ffb8rvuuvp.qc.dolfincdnx.net:5001/itv/5000000011000031207.m3u8?cdn=bestzb
SiTV七彩戏剧,http://esfcv8kmvrq787151nsdv83fjksjreosj29oe1b86seie4ffb8rvuuvp.qc.dolfincdnx.net:5001/itv/5000000011000031116.m3u8?cdn=bestzb
SiTV生活时尚,http://esfcv8kmvrq787151nsdv83fjksjreosj29oe1b86seie4ffb8rvuuvp.qc.dolfincdnx.net:5001/itv/5000000002000019634.m3u8?cdn=bestzb
SiTV游戏风云,http://esfcv8kmvrq787151nsdv83fjksjreosj29oe1b86seie4ffb8rvuuvp.qc.dolfincdnx.net:5001/itv/5000000011000031114.m3u8?cdn=bestzb

iHOT频道,#genre#
iHOT爱谍战,http://025365.xyz:18098/itv/6000000006000070630.m3u8?cdn=wasusyt
iHOT爱动漫,http://025365.xyz:18098/itv/6000000006000280630.m3u8?cdn=wasusyt
iHOT爱经典,http://025365.xyz:18098/itv/6000000006000060630.m3u8?cdn=wasusyt
iHOT爱科幻,http://025365.xyz:18098/itv/6000000006000020630.m3u8?cdn=wasusyt
iHOT爱科学,http://025365.xyz:18098/itv/6000000006000160630.m3u8?cdn=wasusyt
